,_id,title,keywords,fos,abstract
45,53e997d1b7602d9701fc3662,Computerized loan origination systems: an industry case study of the electronic markets hypothesis,"['electronic market', 'electronic coordination', 'mediated market product', 'electronic markets hypothesis', 'industry case study', 'case study', 'industry structure', 'computerized loan origination system', 'market activity', 'electronic hierarchy', 'electronic market coordination', 'home mortgage industry', 'home mortgage market']","['Financial intermediary', 'Incomplete contracts', 'Loan', 'Economics', 'Actuarial science', 'Clos network', 'Financial system', 'Hierarchy', 'Opposition (planets)', 'Loan origination', 'Liberian dollar']","Much has been written in recent years about the changes in corporate strategies and industry structures associated with electronic coordination of market activities. This paper considers the advent of electronic market coordination in the home mortgage industry, focusing on Computerized Loan Origination (CLO) systems. Case studies of five CLOs (First Boston's Shelternet, PRC's Loan Express, American Financial Network's Rennie Mae, Prudential's CLOS, and Citicorp's Mortgage Power Plus) reveal a range of system functionalities. Predictions from the Electronic Markets Hypothesis (EMH) are tested against the empirical results of the five case studies. As suggested by the EMH, financial intermediaries have been threatened by the introduction of CLOs, and in some cases, opposition has been mounted against the systems. On the other hand, despite the availability of the technology and mortgages' seemingly favorable characteristics as an electronically mediated market product, the industry has not been fundamentally changed by the introduction of these systems, despite more than a decade of experience with them. Of the two case studies that could be characterized as electronic markets, neither continues to exist in that form today. And the system with the largest dollar volume of mortgages of the five is best characterized as an electronic hierarchy. These results suggest that either the full results predicted by the EMH require a longer gestation period or that the underlying hypothesis will require augmentation in order to fully explain the results in the home mortgage market."
59,53e997d7b7602d9701fcbff2,An EPQ-based inventory model for exponentially deteriorating items under retailer partial trade credit policy in supply chain,"['partial trade credit', 'optimal replenishment decision', 'epq-based inventory model', 'replenishment decision', 'supply chain management', 'retailer partial trade credit', 'cost minimization problem', 'full trade credit', 'supply chain management situation', 'numerical example', 'optimal retailer', 'trade credit policy', 'epq', 'supply chain', 'inventory', 'eoq']","['Minimization problem', 'Economics', 'Economic order quantity', 'Microeconomics', 'Supply chain management', 'Supply chain', 'Inventory system', 'Trade credit', 'Economic production quantity']","The main purpose of this paper is to investigate the optimal retailer's replenishment decisions for deteriorating items under two levels of trade credit policy to reflect supply chain management situation within the economic production quantity (EPQ) framework. In this paper, it is assumed that the retailer maintains a powerful decision-making right and can obtain the full trade credit offered by the supplier yet retailer just offers the partial trade credit to his/her customers. Under these conditions, the retailer can obtain the most benefits. Then, we model the retailer's inventory system as a cost minimization problem to determine the retailer's optimal replenishment decisions under the supply chain management. Some easy-to-use theorems are developed to efficiently determine the optimal replenishment decisions for the retailer. We deduce some previously published results of other researchers as special cases. Finally, numerical examples are given to illustrate the theorems obtained in this paper. Then, as well as, we obtain a lot of managerial phenomena from numerical examples."
137,53e997e3b7602d9701fd8bdf,A jump to default extended CEV model: an application of Bessel processes,"['equity derivatives', 'default', 'implied volatility skew', 'hazard rate', 'corporate bonds', 'non-central chi-square distribution', 'bessel processes', 'credit spread', 'credit derivatives', 'cev model', 'interest rate', 'credit default swap', 'term structure', 'credit derivative', 'bessel process', 'closed form solution', 'implied volatility', 'realized volatility', 'empirical evidence']","['Econometrics', 'Credit derivative', 'Economics', 'Financial economics', 'Mathematical finance', 'Bessel process', 'Equity (finance)', 'Volatility (finance)', 'Derivative (finance)', 'Constant elasticity of variance model', 'Corporate bond']","We consider the problem of developing a ßexible and analytically tractable framework which uniÞes the valuation of corporate liabilities, credit derivatives, and equity derivatives. Theory and empirical evidence suggest that default indicators such as credit default swap (CDS) spreads and corporate bond yields are positively related to historical volatility and implied volatilities of equity options. Theory and empirical evidence also suggest that a stock's realized volatility is negatively related to its price (leverage effect) and that implied volatilities are decreasing in the option's strike price (skew). We propose a parsimonious reduced-form model of default which captures all of these fundamental relationships. We assume that the stock price follows a diffusion, punctuated by a possible jump to zero (de- fault). To capture the positive link between default and volatility, we assume that the hazard rate of default is an increasing affine function of the instantaneous variance of returns on the underlying stock. To capture the negative link between volatility and stock price, we assume a Constant Elasticity of Variance (CEV) speciÞcation for the instantaneous stock volatility prior to default. We show that deterministic changes of time and scale reduce our stock price process to a standard Bessel process with killing. This reduction permits the de- velopment of completely explicit closed form solutions for risk-neutral survival probabilities, CDS spreads, corporate bond values, and European-style equity options. Furthermore, our valuation model is sufficiently ßexible so that it can be calibrated to exactly match arbitrar- ily given term structures of CDS spreads, interest rates, dividend yields, and at-the-money implied volatilities."
163,53e997e4b7602d9701fda4d3,Production trade-offs and weight restrictions in data envelopment analysis,['data envelope analysis'],"['Information system', 'Economics', 'Mathematical optimization', 'Information technology', 'Operations research', 'Multiplier (economics)', 'Performance measurement', 'Data envelopment analysis', 'Purchasing', 'Project management', 'Returns to scale']","In this paper we suggest two equivalent ways in which the information about production trade-offs between the inputs and outputs can be incorporated into the models of data envelopment analysis (DEA). Firstly, this can be implemented by modifying envelopment DEA models. Secondly, the same information can be captured using weight restrictions in multiplier DEA models. Unlike other methods used for the assessment of weight restrictions, for example those based on value judgements or monetary considerations, the trade-off approach developed in this paper ensures that the radial target of any inefficient unit is technologically realistic and, therefore, the efficiency measure retains its traditional meaning of the extreme radial improvement factor. In other words, this paper suggests that ‘technology thinking’ could be used instead of ‘value thinking’ in the construction of weight restrictions, which offers real practical advantages. The method is equally applicable to the models under constant and variable returns-to-scale assumptions."
174,53e997e4b7602d9701fdb822,DEA Malmquist productivity measure: New insights with an application to computer industry,"['Data envelopment analysis', 'Efficiency', 'Malmquist', 'Productivity', 'Computer industry']","['Isoquant', 'Efficiency', 'Econometrics', 'Economics', 'Productivity change', 'Data envelopment analysis', 'Technical change']","Data envelopment analysis (DEA) measures the relative efficiency of decision making units (DMUs) with multiple inputs and multiple outputs. DEA-based Malmquist productivity index measures the productivity change over time. The DEA-based Malmquist productivity index can be decomposed into two components: one measuring the technical change and the other measuring the frontier shift. In the current study, we provide an extension to the DEA-based Malmquist approach by further analyzing these two Malmquist components. Our proposed new approach not only reveals patterns of productivity change and presents a new interpretation along with the managerial implication of each Malmquist component, but also identifies the strategy shifts of individual DMUs based upon isoquant changes. We can make judgments on whether or not such strategy shifts are favorable and promising. The approach is illustrated with a set of Fortune Global 500 Computer and Office Equipment companies from 1991 to 1997."
253,53e997e8b7602d9701fe080e,Budget Feasible Mechanisms,"['budget feasible mechanism', 'mechanism design problem', 'budget feasible mechanisms', 'approximation result', 'basic class', 'standard mechanism design idea', 'budget constraint', 'sub modular function', 'vcg mechanism', 'novel class', 'important class', 'algorithmic game theory', 'frequency modulation', 'procurement', 'resource management', 'algorithmic mechanism design', 'sorting', 'mechanism design', 'economics', 'space exploration']","['Mathematical optimization', 'Mathematical economics', 'Economics', 'Budget constraint', 'Algorithmic game theory', 'Algorithmic mechanism design', 'Mechanism design', 'Vickrey–Clarke–Groves auction', 'Modular design', 'Payment', 'Bounded function']","We study a novel class of mechanism design problems in which the outcomes are constrained by the payments. This basic class of mechanism design problems captures many common economic situations, and yet it has not been studied, to our knowledge, in the past. We focus on the case of procurement auctions in which sellers have private costs, and the auctioneer aims to maximize a utility function on subsets of items, under the constraint that the sum of the payments provided by the mechanism does not exceed a given budget. Standard mechanism design ideas such as the VCG mechanism and its variants are not applicable here. We show that, for general functions, the budget constraint can render mechanisms arbitrarily bad in terms of the utility of the buyer. However, our main result shows that for the important class of sub modular functions, a bounded approximation ratio is achievable. Better approximation results are obtained for subclasses of the sub modular functions. We explore the space of budget feasible mechanisms in other domains and give a characterization under more restricted conditions."
282,53e997e9b7602d9701fe2e96,Combinatorial Auction Design,"['combinatorial auction design', 'computational limitation', 'desirable auction property', 'market-clearing price auction', 'combinatorial bid', 'computational burden', 'iterative combinatorial auction', 'computational complexity', 'controlling complexity', 'combinatorial auction', 'allocative efficiency', 'transaction cost']","['Economics', 'Mathematical optimization', 'Vickrey auction', 'Combinatorial auction', 'Generalized second-price auction', 'Auction theory', 'Vickrey–Clarke–Groves auction', 'Common value auction', 'Revenue equivalence', 'Auction algorithm']","Combinatorial auctions have two features that greatly affect their design: computational complexity of winner determination and opportunities for cooperation among competitors. Dealing with these forces trade-offs between desirable auction properties such as allocative efficiency, revenue maximization, low transaction costs, fairness, failure freeness, and scalability. Computational complexity can be dealt with algorithmically by relegating the computational burden to bidders, by maintaining fairness in the face of computational limitations, by limiting biddable combinations, and by limiting the use of combinatorial bids. Combinatorial auction designs include single-round, first-price sealed bidding, Vickrey-Clarke-Groves (VCG) mechanisms, uniform and market-clearing price auctions, and iterative combinatorial auctions. Combinatorial auction designs must deal with exposure problems, threshold problems, ways to keep the bidding moving at a reasonable pace, avoiding and resolving ties, and controlling complexity."
311,53e997e9b7602d9701fe4518,Building rational cooperation,"['C70', 'C90', 'D64', 'Z13']","['Economics', 'Positive economics', 'Actuarial science', ""Prisoner's dilemma"", 'Reciprocity (social psychology)', 'Dilemma']","Experiments have shown that people have a natural taste for cooperation. This paper takes a first step in understanding how formal and informal institutions might be designed to utilize these private tastes to facilitate more efficient economic interactions. We examine a twice-played prisoners’ dilemma in which the total of the stakes in the two periods is fixed, but the distribution of these stakes can be varied across periods. We verify experimentally that it is best to “start small,” reserving most of the stakes for the second period."
478,53e997f1b7602d9701ff005d,Performance management and Operational Research: a marriage made in heaven?,"['computer science', 'inventory', 'logistics', 'scheduling', 'operational research', 'production', 'performance management', 'project management', 'information systems', 'communications technology', 'marketing', 'reliability', 'information technology', 'location', 'management science', 'investment', 'operations research', 'forecasting']","['Information system', 'Economics', 'Organizational structure', 'Information technology', 'Organizational behavior management', 'Operations research', 'Performance measurement', 'Information and Communications Technology', 'Performance management', 'Project management']","This paper sets out a simple framework with which to examine the performance management process. It examines the organizational context within which performance management is undertaken, and notes that it becomes most important within hierarchical organizations that allow considerable autonomy amongst devolved units. The paper argues that performance management should embrace four broad functions: formulation of strategy; development of performance measurement instruments; interpreting such measures; and encouraging appropriate organizational responses to performance information. The paper notes that operational research has made significant contributions to all four functions, and suggests that the performance management movement offers enormous possibilities for OR."
493,53e997f1b7602d9701ff0c40,Auctioning Supply Contracts,"['procurement auction', 'procurement problem', 'possible purchase quantity', 'vickrey auction', 'english auction', 'sealed-bid auction', 'optimal procurement strategy', 'purchase quantity', 'auctioning supply contracts', 'dutch auction', 'supply-side competition', 'auctions', 'newsvendor model', 'asymmetric information', 'private information']","['English auction', 'Economics', 'Vickrey auction', 'Eauction', 'Microeconomics', 'Dutch auction', 'Auction theory', 'Proxy bid', 'Industrial organization', 'Revenue equivalence', 'Reverse auction']","This paper studies a procurement problem with one buyer and multiple potential suppliers who hold private information about their own production costs. Both the purchase quantity and the price need to be determined. An optimal procurement strategy for the buyer requires the buyer to first design a supply contract that specifies a payment for each possible purchase quantity and then invites the suppliers to bid for this contract. The auction can be conducted in many formats such as the English auction, the Dutch auction, the first-priced, sealed-bid auction, and the Vickrey auction. The winner is the supplier with the highest bid, and is given the decision right for the quantity produced and delivered. Applying this theory to a newsvendor model with supply-side competition, this paper establishes a connection between the above optimal procurement strategy and a common practice in the retail industry, namely, the use of slotting allowances and vendor-managed inventory. Also discussed in the newsvendor context are the role of well-known supply contracts such as returns contracts and revenue-sharing contracts in procurement auctions, the scenarios where the buyer and suppliers may possess asymmetric information about the demand distribution, and how the cost of supply-demand mismatch is affected by supply-side competition. Finally, this paper compares the optimal procurement strategy with a simpler but suboptimal strategy where the buyer first determines a purchase quantity and then seeks the lowest-cost supplier for the quantity in an auction."
